Ciudad,Días,Descripción,Lugares
danang,dia1,"El trayecto en tren hasta Da Nang está reconocido como uno de los más bonitos del mundo. A mí personalmente me gustó mucho más la parte de las montañas, los arrozales y la vegetación salvaje que las vías pegadas al mar, que en Catalunya podemos ver en casi toda la línea de costa. No por menos novedoso dejó de ser muy bonito. Al llegar a Da Nang lo único que quería era dejar las cosas en el hotel y comer, porque desde el café del mediodía me había comido unas galletitas Tuc con sabor a queso, y ya eran las 18. Andando desde mi hotel no veía nada que me apeteciese; Da Nang es una ciudad de costa, así que hay grandes marisquerías en primera línea de playa, pero no estaba mucho por la labor. Así que busqué en Google Maps, escogí un sitio y cogí una moto. Después de cenar volví andando al hotel, pasando por la playa. El hotel con más estrellas del viaje, y no fui capaz de pegar ojo. A veces pasa.","Đảo Ngọc Beach Hotel
Nhà An - Vietnamese local food restaurant and vegan"
danang,dia2,"Fui directa a ver a Lady Buddha, la estatua más alta de Vietnam, de 67 m. De noche la veía iluminada desde el hotel. Según he leído, representa la compasión y la misericordia, y está ahí para proteger a la gente de los peligros del mar. También hay una pagoda y monos, muchos monos. Me dan miedito, me parecen impredecibles y son, a veces, bastante agresivos. La señora que guardaba el altar de Lady Buddha tenía un tirachinas porque se ve que los monos intentan robar las ofrendas, jeje. Después de pasear y ver la pagoda volví al hotel y me di un baño en la piscina en la azotea del hotel, solo por marcar el check. Me duché y me fui a comer a un sitio vegano precioso, una casita en un callejón que tenía un jardín con un estanque y una mesa en el salón de la casa, abierto al jardín. Tenían una carta que había hecho la hija del matrimonio que lo llevaba, porque sus padres no hablaban mucho inglés, y explicaba la historia del lugar. Me comí la versión vegana de un cao lầu, delicioso y apacible. Volví al hotel, cogí las maletas y pedí un grab hasta Hoi An.","Chùa Linh Ứng
Chickpea Eatery: Mom's Kitchen - Da Nang Vegan & Vegetarian Restaurant"
hoian,dia1,"Llegué a Hoi An tras una siesta en grab; llovía cuando llegué pero enseguida paró y pude dar un paseo desde Cam Nam. Paseé toda la tarde por el mercado y las calles del centro de Hoi An, merendé un bánh mì y un café. Cuando empezó a atardecer se encendieron todos los farolillos de la ciudad y fui al río a dar un paseo en barca y lanzar al río mi farolillo encendido. Compré un conjunto de pantalón y top de lino precioso y también infusiones para poder tomar por la noche en el homestay. Las infusiones me gustaron tanto que compraría antes de volver a España dos paquetes más. Me comí una especie de cruasán planchado de chocolate con forma de pez. La primera noche no tuve hervidor y le pedí a un vecino de habitación que me hirviera el agua para mi té.","Cam Nam Homestay
Madam Khanh - The Banh Mi Queen
Phê La - Phan Châu Trinh, Hội An"
hoian,dia2,"Amanecí en Hoi An y fui a desayunar al que sería mi restaurante favorito; probé por primera vez el bánh xèo. La chica del restaurante, muy amable, me enseñó que hay que enrollarlo en el papel de arroz con las hierbas dentro, delicioso. Empecé mi espiral de compras que duraría los 4 días que estuve en Hoi An; es una ciudad para ir con la maleta vacía. Probé el cao lầu, que es una comida típica de la zona: fideos gruesos con cerdo. Encargué dos pares de sandalias a medida en el mercado y me hice una pedicura. Compré joyitas para mí y mi familia y, al final del día, me dirigí hacia Cam Nam a mi ya restaurante de confianza y me comí un delicioso phở. Conseguí mi hervidor y pude tomarme mis infusiones nocturnas.","Su Deli Restaurant & Coffee
Jimmy Jewellery Hoi An
MẸT Hội An - Vietnamese restaurant & Vegetarian Food 6
Five Senses Spa Hoi An"
hoian,dia3,"El día anterior se me ocurrió que no podía estar todos los días paseando y comprando como forma de vida, así que reservé una excursión para ir a ver un conjunto de templos del pueblo Cham llamado Mỹ Sơn. Está camino al interior, como a una hora de Hoi An. Reservé la excursión de las 5 de la mañana porque se me ocurrió ser vietnamita en horario. Resulta que de camino empezó a caer el diluvio universal, y yo con mi triste chubasquero de goretex falso —que entiéndeme, para una lluvia normal te salva, pero para lo que estaba cayendo…— Los Cham forman parte de las 54 etnias que componen el pueblo de Vietnam; estaban allí antes de que los vietnamitas llegaran y su cultura y religión es similar a la hindú, pero con algunas cosas diferentes. Me gustó mucho porque en la excursión solo éramos 3 personas: una chica de Nueva Zelanda, una mujer de Singapur y yo. La mujer de Singapur era hindú, así que junto con el guía de la excursión fuimos haciendo una comparativa sobre qué cosas eran iguales y qué cosas distintas en ambas culturas. Mỹ Sơn es famoso por cómo está construido; a día de hoy no se sabe con certeza cómo lo hacían, pero los ladrillos están unidos sin nada en medio. Creen que es algo que añadían a la composición del ladrillo (hay gente que dice que savia o resina de los árboles), pero todavía no saben qué. El guía nos explicó que hay una teoría que dice que secaban los ladrillos, construían el templo y luego cocían el templo entero apilando alrededor árboles enteros de sándalo que prendían y ardían durante días. Imaginar esos edificios como una hoguera inmensa en aquel lugar —si fue así— debió ser catártico.
Mojada hasta los huesos, fuimos a una granja local a aprender a hacer papel de arroz y dimos un paseo en barco hasta Hoi An. Después de la excursión no hice mucho: almorcé, paseé, recogí mis sandalias y me di un masaje. Después fui a hacer un taller de farolillos y me hice mi propio farolillo. Cené un phở en Su Deli y me fui a dormir temprano.","My Son
Five Senses Spa Hoi An
The Lantern Lady"
hoian,dia4,"Desayuné un bocadillo de tortilla y me fui a hacer un taller de preparación de cafés. Una chica muy simpática llamada Loan me enseñó a preparar phin coffee, egg coffee, salted coffee y coconut coffee. Di un paseo y encontré un sitio con unas sedas muy bonitas; Hoi An es famoso por las sastrerías, la ropa a medida y las personas que trabajan el cuero para hacer zapatos y bolsos. Así que encargué una tote bag para recoger esa misma tarde. Estuve leyendo Hamnet en la plaza del mercado después de comer, casi hasta que atardeció, y fui a recoger mi bolsa. Volví al homestay para acabar la maleta y salí a comerme una crep de plátano y chocolate antes de coger un grab al punto de recogida de mi bus nocturno hacia Nha Trang.",
nhatrang,dia1,"Llegué a Nha Trang cuando amanecía; toda la playa estaba llena de gente nadando y haciendo ejercicio a las 6 de la mañana. Tenía reservado un apartamentito enfrente del mar e intenté hacer el check-in antes, o que por lo menos me dejaran dejar las dos mochilas que llevaba ahora hasta arriba de cosas que había comprado en Hoi An. Resumiendo, no pude. Así que me fui con mis mochilas a desayunar unas crepes y a tomarme un café. El check-in era a las 14 y tenía muchas horas por delante, así que me fui a la playa, me puse el bikini y alquilé unas tumbonas, una para mí y otra para mis mochilas. Al intentar hacer el check-in a las 14, las personas del apartamento dejaron de contestarme y, 45 minutos después, me tuve que buscar una alternativa. Pero primero esperé otros 35 minutos para sentarme y comerme una pizza. Mientras me la comía intenté reservar otro hotel, el cual también me cancelaron a los 5 minutos. Un poco harta, reservé uno MUY barato al final de la playa, en el barrio ruso. Cogí un grab y al llegar vi otro que me pareció muy bonito; entré a preguntar cuánto costaba la noche y, al ser el que había reservado bastante más barato, decidí ir a ver primero. No pasé de la recepción. Antes de que me atendieran volví al que me había llamado la atención y cogí una habitación sin saber siquiera cómo sería. Pues resultó ser una suite, con cocina, saloncito y la mejor cama de la historia, con balconcito y todo. Y quiero aclarar que cuando digo que este era más caro que el otro es porque toda la estancia me costó 53 € vs 20 € que costaba el anterior. ¡Cómo, CÓMO se puede ser tan rata de cloaca, os preguntaréis! Pero es que cuando empiezas a acostumbrarte a los precios de allí empiezas a tener el valor de caro y barato de allí, aunque cuando te paras a pensarlo realmente… Después de darme una ducha y descansar un poco bajé a una lavandería al lado del hotel a hacer mi colada y estuve leyendo mientras lavaba y secaba. Ya con toda mi ropa limpia, me fui a dar un paseo y cenar.","Deni Pancakes
NACHAN TEA & COFFEE
Pavillon Boutique Hotel & Apartment Nha Trang"
nhatrang,dia2,"Comencé el día cogiendo un grab para ir a desayunar a un sitio que tenía guardado; desayuné en un balcón tranquilo. Después di un paseo hasta la playa y de camino pasé por un mercado en el que vendían de todo. En Vietnam, dentro del caos siempre hay un orden, y lo que me encanta de los mercados es cómo agrupan las cosas: una tienda que solo vende gallinas y tiene todas sus gallinas en las jaulas agrupadas por tamaños, por colores. Otra que solo vende huevos, y ahí están, los blancos juntos, los pardos en otra parte, los pequeños, los más grandes; dentro de todo el caos de hacer las cosas como se puede, tienen un orden que aporta armonía y hace que visualmente te dé satisfacción. Me encantan los mercados; haría fotos de cada segundo que pasa en cualquiera de ellos, pero también tengo que decir que si a la imagen pudiéramos sumarle los otros sentidos (el oído, el olfato, incluso el gusto o el tacto), la experiencia se convierte en una cosa distinta. Los olores se mezclan, el ruido constante y abrupto a veces… Tocar, es mejor no tocar nada. Aun así, son visiones crudas de lo que pasa en una cultura: qué se come, qué se compra para casa, cómo es el día a día. Es una inmersión. Pasando de largo del puesto de las gallinas y del posible foco de gripe aviar, cogí un coconut coffee helado y me fui a la playa dispuesta a regatear por mis tumbonas y pasarme la mañana leyendo frente al mar. Durante estos días me acabé Hamnet y me leí casi entero Cumbres Borrascosas, me puse morena y disfruté mucho de no hacer nada en concreto. Al mediodía fui a comer y paseé de vuelta a casa. Se me ocurrió parar en un sitio a hacerme un spa capilar y una limpieza facial. Tengo que decir que me dejaron divina, pero un poco calva también. Con esto me volví al hotel, cené mi infusión y mi bizcochito y me fui a dormir.","OPTIMIST Casual Cafe
Vocuppa Dessert & Café
라냐 Là Nhà
Clover Spa Massage Nha Trang - 나트랑 마사지"
nhatrang,dia3,"Mi último día en Nha Trang; decidí hacer un esfuerzo y no ir directamente a mi tumbona favorita y visitar el par de cosas culturales de rigor que tenía en mi lista. La primera parada, después de desayunar en un jardín precioso y vacío, fue Po Nagar. Po Nagar es un complejo de templos restaurado de la misma época y estilo que Mỹ Sơn, cerca de Hoi An. Está mucho más cerca de la ciudad, por lo que también está mucho más lleno de turistas; ahí pude ver un trocito de baile tradicional Cham, pero entre el sol abrasador y toda la gente que había no estuve mucho tiempo paseando por allí. Cogí un grab a Long Son Pagoda y subí a ver la estatua de Buda que hay en lo alto de la colina. Al bajar, vi que había otra estatua de un Buda durmiendo y fui por el camino que creía que llevaba a ella. Nunca la encontré. Pero por el camino debí equivocarme y acabé llegando a un pequeño cementerio budista en el que solo se escuchaban los pájaros y los salmos repetidos por los altavoces. Hay lugares que te despiertan una sensación especial, como si estuvieras en un lugar mágico. Quizás por la mezcla de sensaciones de espiritualidad, un poco de misterio, un poco de quizás no tener que estar ahí, de estar mirando un momento precioso desde un rincón, respirando muy despacio para que nada lo altere. Paseé entre los nichos muy despacio, apreciando la calma y el regalo de estar allí. Una vez finalizada mi mañana turística y espiritual, fui a por mi café de coco helado y algo de comer y volví a mi lugar feliz: la hamaca frente al mar. Después de unas horas, fui a comer a un sitio que había visto al pasar y me pareció muy bonito. El sitio era muy bonito, la comida también, y también fue lo único que me sentó fatal durante todo el viaje. Así que volví paseando (malamente) hasta el hotel y, después de mucha indecisión, pospuse hasta el día siguiente mi viaje a Ho Chi Minh. Mi tren salía esa noche, pero no me encontraba bien, no solo para viajar, sino que pensaba en llegar a las 5:30 de la mañana y tener que estar otra vez cargando con las mochilas a 30 grados hasta las dos de la tarde, y me daba un parraque. Así que me quedé en mi suite y reservé un autobús con camita para la mañana siguiente. Orgullosa y agradecida de haber tomado esa decisión.","Artisan Cafe & Eatery

Po Nagar Temple
Long Son Pagoda
Mắm Restaurant - Homestyle Vietnamese Flavors"
nhatrang,dia4,"Me despedí de Nha Trang a las 8 de la mañana. Subí al autobús y me acomodé en mi rutina de viaje: pañuelito sobre el asiento, cargador al móvil, tapones y antifaz para dormir. Y puse rumbo siesta hasta Ho Chi Minh City.",
hochiminh-1,dia1,"Al llegar a Ho Chi Minh City, dejé las cosas en mi homestay y bajé a buscar algún sitio donde comer. Como estaba delicada todavía, no quería comer cualquier cosa, y después de dar mil vueltas acabé en un sitio de phở a punto de cerrar donde una señora muy amable me explicó cómo se come el phở en Saigón: las cinco hierbas que hay que echarle y las salsas que hay que mezclar para mojar el embutido que ponen dentro. Con el estómago lleno y sintiéndome mucho mejor me aventuré a coger un grab moto hasta la oficina central de correos, visita obligada. No había ido todavía en moto en una ciudad con tanto tráfico como Ho Chi Minh; hay que cerrar los ojos y abrirlos al bajar. Envié unas postales a amiguis y familia desde allí; curiosamente la única que se perdió por el camino era una que me había mandado a mí misma; el resto llegaron todas. Después fui caminando por la ciudad, visitando varias tiendas que tenía apuntadas. Tenía miedo de llegar hasta allí y que no me gustara la ciudad; después de la llegada a Hanoi, me imaginaba Ho Chi Minh igual pero con muchísimo calor; pero ni los 30 grados parecían tanto, ni el caos, el tráfico y la polución me agobiaron tanto como en Hanoi. Al contrario, fue una de mis ciudades favoritas; me dio la sensación de que las cosas allí estaban menos pensadas para los de fuera y eran reflejo del Vietnam moderno y actual. Un montón de marcas pequeñas de ropa, tiendas de diseño, joyerías increíbles; al contrario que la avalancha de «made in Vietnam» de Hanoi, aquí encontré cosas únicas, me pareció más auténtica. Ojo, Hanoi no es solo eso, pero sí creo que hay una gran parte que se dedica a explotar ese concepto para el turismo. Cuando se me hizo de noche, volví al distrito 1, donde se encontraba mi homestay, y cené un bánh mì delicioso muy cerca de allí. Volví a mi habitación y preparé mi mochila porque al día siguiente a primera hora comenzaba mi excursión al Delta del Mekong.","Phở Thái Sơn
Saigon Central Post Office
Book Street Lighthouse Monument
Tân Định Parish Church
JELLYFISH SAIGON
Bánh Mì Hồng Hoa"
mekong,dia1,"No recuperada del todo de mi barriga, al levantarme me dirigí a un 7-Eleven a comprar algo que me hidratara y me mantuviese viva sin necesidad de que fuera sólido: Aquarius. Al llegar al punto de recogida de mi tour vi a una chica que parecía estar esperando igual que yo y le pregunté. En efecto, íbamos en el mismo tour y nos alojábamos en el mismo homestay, aunque eso no lo sabría hasta después. Era Sophie, una chica de Viena que viajaba sola y había llegado hacía poco a Vietnam; estaba haciendo casi la misma ruta que yo (y que todo el mundo), pero al revés. Apareció nuestro guía Nick, un chaval de 22 años recién salido de la carrera, en una minivan. Todo el grupo se componía de nosotras y tres parejas de matrimonios entre 60 y 70 años de edad. Unos alemanes, otros británicos e irlandeses. Pusimos rumbo a la primera parada: la pagoda Vĩnh Tràng. De ahí fuimos a coger un barco y visitamos una isla de cocoteros, donde nos enseñaron de qué manera aprovechaban todas las partes del coco y nos dieron a probar diferentes dulces. Para ese momento yo estaba empezando a olvidarme del estado de mi estómago bajo el lema «la que tenga miedo a morir que no nazca» y, por supuesto, probé todo lo que me ponían por delante. Es más, de ahí cogimos unos tuk-tuks y nos llevaron a hacer una degustación de frutas tropicales. Nuestro guía nos explicaba de qué manera se reinventa la gente del Mekong para subsistir, cultivando lo que la tierra les permite según el clima y las lluvias. Probé todas las frutas menos los lichis. Jackfruit, papaya, mango y otra que parecía una mezcla entre una chirimoya y una manzana, acompañadas de un té muy rico en unos vasos monísimos que busqué después en todas partes para comprármelos, y no los encontré.
Mientras probábamos las frutas, unas señoras se pusieron a cantar canciones vietnamitas y después nos llevaron en una barquita por los canales. Yo miraba todo el rato entre las cañas a ver si de repente veía los ojillos de un cocodrilo asomando, pero nada. De ahí nos montaron en el barco más grande, nos dieron un coco para beber y nos llevaron a comer. Comimos pez oreja de elefante, un pez típico de la zona, además de rollitos vietnamitas, arroz, bánh xèo, sopa de pollo y carnes varias. Para acabar las actividades del día, nos llevaron a una granja de abejas y nos dieron a probar té con polen, propóleo, miel y limón. Eso me acabó de curar el estómago. Volvimos a coger el barco y la minivan y llegamos a Can Tho, la ciudad donde dormiríamos. Después de hacer el check-in en el hotel, me fui a dar un paseo por su mercado nocturno y a cenar. Comí un plato que se llama nem nướng: son como salchichas de cerdo a la parrilla que te sirven con fideos de arroz y hojas frescas tipo lechuga, pepino, menta, cilantro, etc. Además de encurtidos tipo nabo, zanahoria, calabacín. Lo pones todo dentro de un papel de arroz y haces un rollito y lo mojas en una salsa que sabe a cacahuete. Tremendo.","7-Eleven
Vĩnh Tràng Pagoda
Bến Tre
Nhà Hàng Diễm Phượng
Nem Nướng Thanh Vân"
mekong,dia2,"Me levanté antes de que saliera el sol porque habíamos quedado en el hall a las 6 de la mañana para ir a ver el mercado flotante de Cai Rang. Nada más bajar nos recogieron y fuimos a embarcar. Nick nos explicó que desde el covid, el mercado ha ido decreciendo porque mucha gente que se dedicaba a ello tuvo que vender sus barcos y dedicarse a otra cosa durante la pandemia. Es cierto que me imaginaba muchos más barcos, pero estuvo interesante. La gente cuelga de un palo lo que venden para que lo puedas ver de lejos: por ejemplo, una piña, un boniato, un coco… Nos subieron a un barco-casa y nos dieron un té, un poco de fruta y algo más. Tenían dos barcos juntos; en uno de ellos guardaban el suelo lleno de boniatos y en el otro lo tenían inundado, con peces, ranas y patos. Los patos comían phở. De ahí fuimos al mercado de tierra, dimos un paseo y nos recogieron para ir al hotel a desayunar y hacer el check-out. De ahí fuimos a un homestay donde íbamos a dar un paseo en bici y nos iban a enseñar a hacer bánh xèo. Pero nada más salir en fila con las bicis, una de las mujeres del grupo se cayó y se hizo un corte bestial en la rodilla; sangraba a chorro porque estaba tomando anticoagulantes. Se acabó el paseo; se la tuvieron que llevar al hospital y le pusieron 27 puntos. Mientras la operaban, el resto aparcamos las bicis y nos dimos un paseo a pie para evitar más accidentes. Luego nos enseñaron a hacer la tortita vietnamita y comimos. Poco después de acabar, volvieron del hospital, comieron y pusimos rumbo de vuelta a Ho Chi Minh, dando por acabada la aventura del Mekong.","Cai Rang Floating Market
An Binh Market
Ancient House 10 Vo"
hochiminh-2,dia1,"Llegué por la tarde al homestay e intercambié teléfonos con Sophie para hacer algo juntas al día siguiente. Sin querer perder tiempo, dejé la mochila en mi habitación y salí a la calle a buscar ropa vietnamita que comprar. Quería comprarme algo estilo qipao, pero las tallas de Vietnam son para cuerpos asiáticos y a veces la talla más grande es una M. Pasé por el mercado de Ben Thanh y me compré un mini bolsito de Longchamp, de Longchamp vietnamita. Totalmente innecesario pero cuquísimo. Al final acabé en un Vincom Center, un centro comercial gigante con un montón de pop-ups monísimas de marcas pequeñas y locales; me encantó, pero acabé en el H&M. Necesitaba algunas cosas básicas para el viaje al norte. Luego seguí paseando hasta la ópera y pasé por delante del edificio del Café Apartment, pero me pudo el agotamiento y las ganas de comerme un bánh mì, y volví a mi zona en moto, cené y me fui a dormir.","Ben Thanh Market
Vincom Center Dong Khoi
Saigon Opera House
Quảng trường Nguyễn Huệ
Bánh Mì Hồng Hoa"
hochiminh-2,dia2,"Me levanté un poco tocada de la garganta; viendo cómo me caía encima un resfriado a 30 grados, decidí igualmente seguir mi plan de último día entero en la ciudad. Me puse ropa nueva y me fui a desayunar un phở para empezar el día con alegría. Después fui a visitar un edificio que hay enfrente de mi bánh mì de confianza. En Ho Chi Minh hay muchos bloques de pisos que tienen negocios en su interior, por lo que puedes subir a un primero y que haya una papelería (que así era en este caso). Subí hasta el último piso buscando una terraza con vistas y me encontré una tienda de ropa vintage, donde me compré un pañuelo de seda precioso, y una cafetería con gatos dentro (una de ellas disfrazada de señorita). A por los gatos, claramente. Después cogí un autobús (experiencia de guiri desastrosa) para ir a una joyería que quería visitar en el distrito 3. Después paseé y me tomé un café mientras visitaba perfumerías; cuando me empezó a entrar el hambre, cogí un grab hasta mi distrito y fui a comer com tấm: arroz partido acompañado de huevo frito, pork belly y encurtidos. Me hubiera comido 3. Después volví a mi habitación a reorganizar mi maleta y descansar. A media tarde quedé con Sophie para ir a ver el mercado de las flores; paseamos por allí hasta que no hubo más que ver y nos fuimos a tomar algo al último piso del Café Apartment. Estuvimos charlando hasta la hora de la cena y quedamos en vernos al día siguiente y compartir el grab al aeropuerto. Nuestros vuelos salían con media hora de diferencia. Volví al homestay y paré en una farmacia para comprarme un spray de propóleo y unos caramelitos para la tos.","Phở Thịnh
Nhà Chung Cafe
AAA JEWELRY
Là Việt Coffee
Parfumélite
Cơm tấm Đề Thám
Flower market
The Cafe Apartments"
